StationID,COMID_WSC,COMID_GAGE,COMID_CAMELS,COMID_CLRHNA,COMID
01DG043,72048517.0,,,72048517.0,72048517.0
01DH001,72047750.0,,,72047750.0,72047750.0
01DH002,72047538.0,,,72047538.0,72047538.0
01DH003,72048931.0,,,72048931.0,72048931.0
01DH004,72047994.0,,,72047994.0,72047994.0
01DH005,72047750.0,,,72047750.0,72047750.0
01DH006,72048854.0,,,72048854.0,72048854.0
01DJ001,72048321.0,,,72048321.0,72048321.0
01DJ003,72048283.0,,,72048283.0,72048283.0
01DJ004,72049218.0,,,72049218.0,72049218.0
01DJ005,72048321.0,,,72048321.0,72048321.0
01DL001,72049269.0,,,72049269.0,72049269.0
01DL002,72049355.0,,,72049355.0,72049355.0
01DN001,72047691.0,,,72047691.0,72047691.0
01DN002,72047691.0,,,72047691.0,72047691.0
01DN003,72047508.0,,,72047508.0,72047508.0
01DN004,72047637.0,,,72047637.0,72047637.0
01DN005,72048255.0,,,72048255.0,72048255.0
01DN006,72049403.0,,,72049403.0,72049403.0
01DN007,72048351.0,,,72048351.0,72048351.0
01DN008,72049345.0,,,72049345.0,72049345.0
01DO001,72047868.0,,,72047868.0,72047868.0
01DP001,72049026.0,,,72049026.0,72049026.0
01DP002,72048267.0,,,72048267.0,72048267.0
01DP003,72047313.0,,,72047313.0,72047313.0
01DP004,72049050.0,,72049050.0,72049050.0,72049050.0
01DQ001,72049336.0,,,72049336.0,72049336.0
01DR001,72047867.0,,72047867.0,72047867.0,72047867.0
01DR002,72049438.0,,,72049438.0,72049438.0
01DR003,72049591.0,,,72049591.0,72049591.0
01EA001,72051657.0,,,72051657.0,72051657.0
01EA002,72051988.0,,,72051657.0,72051988.0
01EA003,72051771.0,,,72051771.0,72051771.0
01EC001,72051729.0,,,72051729.0,72051729.0
01EC002,72052878.0,,,72052878.0,72052878.0
01ED001,72051639.0,,,72051639.0,72051639.0
01ED002,72051605.0,,,72051605.0,72051605.0
01ED003,72051605.0,,,72051605.0,72051605.0
01ED005,72051832.0,,,,72051832.0
01ED005&01ED006,,,,72051832.0,72051832.0
01ED006,72051832.0,,,,72051832.0
01ED007,72052096.0,,,72052096.0,72052096.0
01ED008,72053706.0,,,72053706.0,72053706.0
01ED009,72053951.0,,,72053951.0,72053951.0
01ED010,72053951.0,,,72053951.0,72053951.0
01ED011,72053951.0,,,72053951.0,72053951.0
01ED013,72051938.0,,,72051938.0,72051938.0
01EE001,72051654.0,,,72051654.0,72051654.0
01EE002,72052022.0,,,72052022.0,72052022.0
01EE003,72053373.0,,,72053373.0,72053373.0
01EE004,72052398.0,,,72052398.0,72052398.0
